Issuer Name,Theme,Issue Date,Amount Issued,Currency,Amount (USD),Country,Sector,Narrative
Volkswagen AG,Green,2024-05-15,800000000,NOK,74400000,Germany,Finance,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-05-14,750000000,EUR,808046250,USA,Commercial Bank,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-03-28,500000000,EUR,539636500,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Stellantis NV,Green,2024-03-19,500000000,EUR,546478000,Netherlands,Industry,Climate Bonds Aligned - Stellantis NV. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-03-22,30000000,AUD,19547730,USA,Financial,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-03-28,20000000,EUR,21585460,USA,Financial,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-04-02,20000000,AUD,13028200,USA,Financial,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-04-26,10000000,USD,10000000,USA,Financial,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-01-29,350000000,SEK,33506200,Netherlands,Finance,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-03-01,10000000,EUR,10853400,USA,Financial,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-03-20,140000000,HKD,17895780,USA,Financial,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen Financial Services AG,Green,2024-01-11,750000000,EUR,818331750,Germany,Leasing,Climate Bonds Aligned - Volkswagen Financial Services AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen Financial Services AG,Green,2024-01-11,1150000000,EUR,1254916800,Germany,Leasing,Climate Bonds Aligned - Volkswagen Financial Services AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen Financial Services AG,Green,2024-01-11,850000000,EUR,927719750,Germany,Leasing,Climate Bonds Aligned - Volkswagen Financial Services AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2023-12-15,1000000000,NOK,91198000,Netherlands,Finance,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2023-12-08,300000000,SEK,28661700,Netherlands,Finance,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2023-12-08,550000000,SEK,52546450,Netherlands,Finance,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2023-12-08,650000000,SEK,62100350,Netherlands,Finance,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2023-11-22,300000000,USD,300000000,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2023-11-22,300000000,USD,300000000,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-02-08,10000000,EUR,10776730,USA,Financial,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2023-10-19,300000000,EUR,317145000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen Financial Services AG,Green,2023-09-25,700000000,EUR,747959100,Germany,Leasing,Climate Bonds Aligned - Volkswagen Financial Services AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen Financial Services AG,Green,2023-09-25,500000000,EUR,534236500,Germany,Leasing,Climate Bonds Aligned - Volkswagen Financial Services AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen Financial Services AG,Green,2023-09-25,800000000,EUR,854189600,Germany,Leasing,Climate Bonds Aligned - Volkswagen Financial Services AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2023-09-18,500000000,USD,500000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2023-09-06,750000000,EUR,809371500,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2023-09-06,1000000000,EUR,1079313000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2023-09-14,600000000,USD,600000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of America Corp,Green,2023-06-12,1000000000,EUR,1067828000,USA,Commercial Bank,Climate Bonds Aligned - Bank of America Corp. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2023-06-26,500000000,CNY,69083500,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2023-03-29,750000000,EUR,807546000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2023-03-27,1000000000,EUR,1076612000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Stellantis NV,Green,2023-03-14,1250000000,EUR,1331586250,Netherlands,Industry,Climate Bonds Aligned - Stellantis NV. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-11-23,400000000,USD,400000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2022-11-15,750000000,EUR,773100000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2022-11-15,750000000,EUR,773100000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2022-11-15,1000000000,EUR,1030800000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2022-09-22,1000000000,EUR,984010000,USA,Commercial Bank,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd/Sydney,Sustainability,2022-03-07,400000000,USD,400000000,China,,Climate Bonds Aligned - Bank of China Ltd/Sydney. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2022-03-01,600000000,USD,600000000,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2022-03-01,600000000,USD,600000000,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-04-10,25000000,EUR,26853275,USA,Commercial Bank,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
General Motors Co,Green,2022-08-02,1250000000,USD,1250000000,USA,Transport,Climate Bonds Aligned - General Motors Co. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
General Motors Co,Green,2022-08-02,1000000000,USD,1000000000,USA,Transport,Climate Bonds Aligned - General Motors Co. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of America,Sustainability,2022-11-10,2000000000,USD,2000000000,USA,Diversified Banks,Climate Bonds Aligned - Bank of America. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd/Macau,Sustainability,2024-06-26,1000000000,CNY,137658000,China,Banks,Climate Bonds Aligned - Bank of China Ltd/Macau. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2023-10-18,1600000000,CNY,219097600,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd/Hong Kong,Sustainability,2023-03-27,1000000000,CNY,145580000,China,Banks,Climate Bonds Aligned - Bank of China Ltd/Hong Kong. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Mercedes-Benz Group AG,Green,2023-05-30,1000000000,EUR,1082767000,Germany,Transport,Climate Bonds Aligned - Mercedes-Benz Group AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Mercedes-Benz Group AG,Green,2023-05-30,1000000000,EUR,1082717000,Germany,Transport,Climate Bonds Aligned - Mercedes-Benz Group AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2024-12-17,10000000000,CNY,1372570000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Mercedes-Benz Group AG,Green,2023-06-12,1000000000,CNY,139946000,China,Transport,Climate Bonds Aligned - Mercedes-Benz Group AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2023-05-16,30000000000,CNY,4299480000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-12-19,30000000000,CNY,4298250000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-02-23,30000000000,CNY,4748496561,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-02-12,300000000,CHF,348672900,Netherlands,Finance,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-02-12,300000000,CHF,348672900,Netherlands,Finance,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2022-10-24,5000000000,CNY,688457453,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2022-10-24,5000000000,CNY,688457453,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2022-10-24,15000000000,CNY,2065372358,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2022-10-24,15000000000,CNY,2065372358,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2022-06-28,750000000,EUR,792075000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2022-06-28,750000000,EUR,792075000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-06-16,500000000,USD,500000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-04-28,500000000,EUR,524250000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-04-28,500000000,USD,500000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-04-28,1000000000,USD,1000000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-02-17,2000000000,HKD,256392910,China_HK,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-02-16,300000000,USD,300000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2022-02-16,300000000,USD,300000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2022-01-19,300000000,USD,300000000,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Agricultural Bank of China Ltd,Green,2022-01-19,300000000,USD,300000000,China,Commercial Bank,Climate Bonds Aligned - Agricultural Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
China State Construction International Investments Limited,Green,2023-08-22,1100000000,CNY,150821000,China,0,Climate Bonds Aligned - China State Construction International Investments Limited. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Enel SpA,Green,2023-02-14,560000000,EUR,601161680,Italy,Energy,Climate Bonds Aligned - Enel SpA. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Hanwha Group Corp,Green,2024-01-18,55000000000,KRW,41085000,South Korea,Energy,Climate Bonds Aligned - Hanwha Group Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Group Corp,Green,2024-01-18,95000000000,KRW,70965000,South Korea,Energy,Climate Bonds Aligned - Hanwha Group Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Mars Inc,Sustainability,2023-04-20,500000000,USD,500000000,USA,Food & Beverage,Climate Bonds Aligned - Mars Inc. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Group,Green,2022-07-05,300000000,USD,300000000,USA,Energy,Climate Bonds Aligned - Hanwha Group. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Ford Motor Co,Green,2022-08-19,1750000000,USD,1750000000,USA,Transport,Climate Bonds Aligned - Ford Motor Co. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Group Corp,Green,2022-02-15,90000000000,KRW,75215470,South Korea,Energy,Climate Bonds Aligned - Hanwha Group Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Corp,Green,2024-06-26,80000000000,KRW,57360000,South Korea,0,Climate Bonds Aligned - Hanwha Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Corp,Green,2024-06-26,70000000000,KRW,50190000,South Korea,0,Climate Bonds Aligned - Hanwha Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Corp,Green,2023-09-19,100000000000,KRW,75200000,South Korea,0,Climate Bonds Aligned - Hanwha Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Corp,Green,2023-09-19,140000000000,KRW,105280000,South Korea,0,Climate Bonds Aligned - Hanwha Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Corp,Green,2022-02-03,50000000000,KRW,41540908,South Korea,0,Climate Bonds Aligned - Hanwha Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Corp,Green,2022-02-03,100000000000,KRW,83081816,South Korea,0,Climate Bonds Aligned - Hanwha Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Solutions Corp,Green,2024-08-06,200000000,CHF,235291400,South Korea,Renewable Energy,Climate Bonds Aligned - Hanwha Solutions Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Solutions,Green,2022-01-24,275000000000,KRW,229900000,South Korea,0,Climate Bonds Aligned - Hanwha Solutions. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Hanwha Solutions Corp,Green,2023-07-27,400000000,USD,400000000,USA,Energy,Climate Bonds Aligned - Hanwha Solutions Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Comcast Corp,Green,2023-02-09,1000000000,USD,1000000000,USA,Communications,Climate Bonds Aligned - Comcast Corp. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
CK Hutchison Holdings Ltd,Green,2024-04-26,1000000000,USD,1000000000,China_HK,0,Climate Bonds Aligned - CK Hutchison Holdings Ltd. Largest Family Businesses (EY and University of St.Gallen Global 500 Family Business Index  annual reports  and other publicly available information)
Achmea BV,Green,2024-12-10,500000000,EUR,524293000,Netherlands,Commercial Bank,Climate Bonds Aligned - Achmea BV. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Groupe BPCE,Green,2024-10-15,6000000,USD,6000000,France,Commercial Bank,Climate Bonds Aligned - Groupe BPCE. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
ZF Friedrichshafen AG,Green,2024-01-31,800000000,EUR,866012000,Germany,Industry,Climate Bonds Aligned - ZF Friedrichshafen AG. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Groupe BPCE,Green,2024-08-08,25000000,EUR,27288550,France,Commercial Bank,Climate Bonds Aligned - Groupe BPCE. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
ZF Friedrichshafen AG,Green,2023-09-13,650000000,EUR,697930350,Germany,Industry,Climate Bonds Aligned - ZF Friedrichshafen AG. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
ZF Friedrichshafen,Green,2023-02-03,650000000,EUR,707567900,Germany,0,Climate Bonds Aligned - ZF Friedrichshafen. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Achmea BV,Green,2022-11-29,500000000,EUR,516099500,Netherlands,Financial Institution,Climate Bonds Aligned - Achmea BV. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Groupe BPCE,Green,2024-04-25,25000000,EUR,26821175,France,Commercial Bank,Climate Bonds Aligned - Groupe BPCE. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Groupe BPCE,Green,2024-11-21,1200000000,TWD,36846000,France,Commercial Bank,Climate Bonds Aligned - Groupe BPCE. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Groupe BPCE,Green,2024-10-29,750000000,EUR,820254750,France,0,Climate Bonds Aligned - Groupe BPCE. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Groupe BPCE,Green,2024-05-17,150000000,EUR,163415700,France,Commercial Bank,Climate Bonds Aligned - Groupe BPCE. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Jiangsu Shagang Group Co. Ltd,Green,2022-07-27,700000000,CNY,103691598,China,0,Climate Bonds Aligned - Jiangsu Shagang Group Co. Ltd. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
ZF Friedrichshafen AG,Green,2024-04-23,700000000,USD,700000000,Germany,Industry (Transport),Climate Bonds Aligned - ZF Friedrichshafen AG. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
ZF Friedrichshafen AG,Green,2024-04-23,800000000,USD,800000000,Germany,Industry (Transport),Climate Bonds Aligned - ZF Friedrichshafen AG. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
ZF Friedrichshafen AG,Green,2023-04-14,600000000,USD,600000000,Germany,Industry (Transport),Climate Bonds Aligned - ZF Friedrichshafen AG. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
ZF Friedrichshafen AG,Green,2023-04-14,600000000,USD,600000000,Germany,Industry (Transport),Climate Bonds Aligned - ZF Friedrichshafen AG. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Calpine Corporation,Green,2022-05-31,1770850000,USD,1770850000,USA,0,Climate Bonds Aligned - Calpine Corporation. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Calpine Corporation,Green,2024-01-15,1000000000,USD,1000000000,USA,Energy,Climate Bonds Aligned - Calpine Corporation. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
Fidelity Investments,Green,2024-03-07,200000000,EUR,218996800,USA,Investment Company,Climate Bonds Aligned - Fidelity Investments. Largest Private Non-Governmental Companies by Revenue (Based on annual reports and other publicly available information)
TSMC,Green,2023-05-03,2300000000,TWD,75012200,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2023-05-03,5300000000,TWD,172854200,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2023-05-03,13100000000,TWD,427243400,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
LG Electronics Inc,Sustainability,2024-04-24,300000000,USD,300000000,South Korea,Hardware,Climate Bonds Aligned - LG Electronics Inc. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
Lenovo,Green,2022-07-27,625000000,USD,625000000,China_HK,0,Climate Bonds Aligned - Lenovo. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2024-05-17,6600000000,TWD,205260000,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2024-05-17,4900000000,TWD,152404700,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2024-03-15,10800000000,TWD,341571600,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2024-03-15,12000000000,TWD,379524000,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2023-03-28,4800000000,TWD,158208000,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2023-03-28,2300000000,TWD,75808000,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2023-03-28,12200000000,TWD,402124200,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-10-20,3500000000,TWD,109105850,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-10-20,1000000000,TWD,31173100,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-10-20,5700000000,TWD,177686670,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
